Type,SKU,Name,Short description,Description,Weight (lbs),Regular price
simple,SERF1554-55P-12-13-384,SERF1554-55P-12-13-384,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 8'",4.32,9.72
simple,SERF1554-55P-12-13-388,SERF1554-55P-12-13-388,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 8'-1""",4.365,9.82125
simple,SERF1554-55P-12-13-392,SERF1554-55P-12-13-392,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 8'-2""",4.41,9.9225
simple,SERF1554-55P-12-13-396,SERF1554-55P-12-13-396,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 8'-3""",4.455,10.02375
simple,SERF1554-55P-12-13-400,SERF1554-55P-12-13-400,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 8'-4""",4.5,10.125
simple,SERF1554-55P-12-13-404,SERF1554-55P-12-13-404,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 8'-5""",4.545,10.22625
simple,SERF1554-55P-12-13-408,SERF1554-55P-12-13-408,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 8'-6""",4.59,10.3275
simple,SERF1554-55P-12-13-412,SERF1554-55P-12-13-412,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 8'-7""",4.635,10.42875
simple,SERF1554-55P-12-13-416,SERF1554-55P-12-13-416,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 8'-8""",4.68,10.53
simple,SERF1554-55P-12-13-420,SERF1554-55P-12-13-420,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 8'-9""",4.725,10.63125
simple,SERF1554-55P-12-13-424,SERF1554-55P-12-13-424,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 8'-10""",4.77,10.7325
simple,SERF1554-55P-12-13-428,SERF1554-55P-12-13-428,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 8'-11""",4.815,10.83375
simple,SERF1554-55P-12-13-432,SERF1554-55P-12-13-432,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 9'",4.86,10.935
simple,SERF1554-55P-12-13-436,SERF1554-55P-12-13-436,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 9'-1""",4.905,11.03625
simple,SERF1554-55P-12-13-440,SERF1554-55P-12-13-440,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 9'-2""",4.95,11.1375
simple,SERF1554-55P-12-13-444,SERF1554-55P-12-13-444,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 9'-3""",4.995,11.23875
simple,SERF1554-55P-12-13-448,SERF1554-55P-12-13-448,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 9'-4""",5.04,11.34
simple,SERF1554-55P-12-13-452,SERF1554-55P-12-13-452,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 9'-5""",5.085,11.44125
simple,SERF1554-55P-12-13-456,SERF1554-55P-12-13-456,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 9'-6""",5.13,11.5425
